UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;;
;REVUE DES MALADIES RESPIRATOIRES;POST-TRAUMATIC PULMONARY ASPERGILLOMA;"PIN, I.;";" INSERM 1209, INST LAVANCEE BIOSCI, F-38042 GRENOBLE 9, FRANCE.;";;
;MOLECULAR BIOLOGY OF THE CELL;TAU CAN SWITCH MICROTUBULE NETWORK ORGANIZATIONS: FROM RANDOM NETWORKS TO DYNAMIC AND STABLE BUNDLES;"FOUREST-LIEUVIN, ANNE; ANDRIEUX, ANNIE";" INST BIOSCI & BIOTECHNOL GRENOBLE, COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT, F-38000 GRENOBLE, FRANCE.;";;
;EPIGENETICS & CHROMATIN;SYSTEMATIC QUANTITATIVE ANALYSIS OF H2A AND H2B VARIANTS BY TARGETED PROTEOMICS;PFLIEGER, DELPHINE;" BIOSCI & BIOTECHNOL INST GRENOBLE, CNRS, FR CNRS 3425, GRENOBLE, FRANCE.;";;
;SCIENTIFIC REPORTS;CLIQ-BID: A METHOD TO QUANTIFY BACTERIA-INDUCED DAMAGE TO EUKARYOTIC CELLS BY AUTOMATED LIVE-IMAGING OF BRIGHT NUCLEI;"WALLEZ, YANN; BOUILLOT, STEPHANIE; HUBER, PHILIPPE; ATTREE, INA; FAUDRY, ERIC";" CEA, CNRS, BACTERIAL PATHOGENESIS & CELLULAR RESPONSES, BIOSCI & BIOTECHNOL INST GRENOBLE,UGA,INSERM, GRENOBLE, FRANCE.; ";;
;SCIENTIFIC REPORTS;CLIQ-BID: A METHOD TO QUANTIFY BACTERIA-INDUCED DAMAGE TO EUKARYOTIC CELLS BY AUTOMATED LIVE-IMAGING OF BRIGHT NUCLEI;SOLEILHAC, EMMANUELLE;" BIOSCI & BIOTECHNOL INST GRENOBLE, GENET & CHEMOGEN, CMBA PLATFORM, GRENOBLE, FRANCE.;";;
;MEDICAL IMAGING 2018: PHYSICS OF MEDICAL IMAGING;3D IMAGING OF THERANOSTIC NANOPARTICLES IN MICE ORGANS BY MEANS OF X-RAY PHASE CONTRAST TOMOGRAPHY;"LE GUEVEL, X.;; SANCEY, L.;";" UGA, INST ADV BIOSCI, U1209, UMR5309, ALLEE ALPES SITE SANTE, F-38700 GRENOBLE, FRANCE.; ";;
;NATURE GENETICS;MULTIANCESTRY ASSOCIATION STUDY IDENTIFIES NEW ASTHMA RISK LOCI THAT COLOCALIZE WITH IMMUNE-CELL ENHANCER MARKS;SIROUX, VALERIE;" INSERM, INST ADV BIOSCI, TEAM ENVIRONM EPIDEMIOL APPL REPROD & RESP HLTH, U1209, GRENOBLE, FRANCE.; ";;
;ANNALS OF ONCOLOGY;PHASE II EFFICACY AND SAFETY DATA FOR THE MET INHIBITOR TEPOTINIB IN PATIENTS (PTS) WITH SORAFENIB-TREATED ADVANCED HEPATOCELLULAR CARCINOMA (HCC);"DECAENS, T.;";" CHU GRENOBLE, INST ADV BIOSCI, LA TRONCHE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;ASSOCIATIONS BETWEEN FLUORESCENT OXIDATION PRODUCTS (FLOPS) LEVEL AND CHANGE IN ASTHMA OUTCOMES;SIROUX, VALERIE;" UGA, EQUIPE EPIDEMIOL ENVIRONM, INST ADV BIOSCI, CTR RECH,INSERM,U1209,CNRS,UMR 5309, LA TRONCHE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;MEDIATION ANALYSIS OF CRP ON THE ASSOCIATION OF PHYSICAL ACTIVITY WITH FEV1 AND FVC: THE ECRHS STUDY.;PIN, ISABELLE;" INSERM, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;OUTDOOR AIR POLLUTION, FLUORESCENT OXIDATION PRODUCTS AND PERSISTENT ASTHMA: THE EGEA STUDY;SIROUX, VALERIE;" UGA, EQUIPE EPIDEMIOL ENVIRONM, INST ADV BIOSCI, CTR RECH,INSERM,U1209,CNRS,UMR 5309, ALLEE ALPES, GRENOBLE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;INHALED CORTICOSTEROIDS AND FEV1 DECLINE IN ASTHMA: AN INTERNATIONAL COHORT STUDY;PIN, ISABELLE;" INSERM, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;ADULT ASTHMA PHENOTYPES IDENTIFIED BY A CLUSTER ANALYSIS ON CLINICAL AND BIOLOGICAL CHARACTERISTICS;SIROUX, VALERIE;" UGA, EQUIPE EPIDEMIOL ENVIRONM, INST ADV BIOSCI, CTR RECH,INSERM,U1209,CNRS,UMR 5309, SITE SANTE,ALLEE ALPES GRENOBLE, GRENOBLE, FRANCE.;";;
;EUROPEAN RESPIRATORY JOURNAL;BODY MASS INDEX TRAJECTORIES DURING ADULT LIFE AND LUNG FUNCTION DECLINE;SIROUX, VALERIE;" CNRS UMR 5309, INSERM U1209, CTR RECH UGA, INST ADV BIOSCI,EQUIPE EPIDEMIOL ENVIRONM, SITE SANTE,ALLEE ALPES, LA TRONCHE, FRANCE.; ";;
;EUROPEAN RESPIRATORY JOURNAL;ALLERGIC MULTI-MORBIDITY IS ASSOCIATED WITH AN INCREASED RISK OF ASTHMA IN ADULTS: A POPULATION-BASED CASE CONTROL STUDY;"CHANOINE, SEBASTIEN; SIROUX, VALERIE";" UGA, INSERM U 1209, CNRS UMR 5309 JOINT RES CTR TEAM ENVIRONM EPIDEMI, INST ADV BIOSCI, LA TRONCHE, FRANCE.; ";;
;MEDICAL MYCOLOGY;DEVELOPING A NOVEL ANTI-FUNGAL STRATEGY BY TARGETING EPIGENETIC READER DOMAINS IN CANDIDA GLABRATA;"CHAMPLEBOUX, M.;; GOVIN, J.;";" INST GRENOBLE, BIOSCI & BIOTECHNOL, GRENOBLE, FRANCE.; ";;
;PROTEIN EXPRESSION AND PURIFICATION;FUNCTIONAL CHARACTERIZATION OF CELL-FREE EXPRESSED K(V)1.3 CHANNEL USING A VOLTAGE-SENSITIVE FLUORESCENT DYE;"BEROUD, REMY; DE WAARD, MICHEL";" SMARTOX BIOTECHNOL, 570 RUE CHIM, F-38400 ST MARTIN DHERES, FRANCE.; ";;
;JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES;ACTIFLAGELIN, A NEW SPERM ACTIVATOR ISOLATED FROM WALTERINNESIA AEGYPTIA VENOM USING PHENOTYPIC SCREENING;"JAQUILLARD, LUCIE; TRIQUIGNEAUX, MATHILDE; BEROUD, REMY; DE WAARD, MICHEL";" SMARTOX BIOTECHNOL, 570 RUE CHIM, F-38400 ST MARTIN DHERES, FRANCE.; ";;
CERAG;;;;;;
;QUALITY OF LIFE RESEARCH;A TRIADIC APPROACH TO HEALTH AND DEPENDENCE IN AGING ADULTS: INCONGRUENCE IN PERCEPTION;BRANCHET, BENEDICTE;" CNRS, CERAG, F-38000 GRENOBLE, FRANCE.; ";;
;PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY & SYSTEMS (ICITS 2018);UNVEILING UNBALANCE ON SUSTAINABLE SUPPLY CHAIN RESEARCH: DID WE FORGET SOMETHING?;LOZA-AGUIRRE, EDISON;" CNRS UGA, CERAG FRE 3748, 150 RUE CHIM,BP 47, F-38040 GRENOBLE 9, FRANCE.; ";;
;APPETITE;RETRACTION: HOW NEGATIVE EXPERIENCES SHAPE LONG-TERM FOOD PREFERENCES. FIFTY YEARS FROM THE WORLD WAR II COMBAT FRONT (RETRACTION OF VOL 52, PG 750, 2009);WERLE, CAROLINA;" GRENOBLE ECOLE MANAGEMENT CERAG, GRENOBLE, FRANCE.;";;
CERMAV;;;;;;
;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;IDENTIFICATION OF POLYSACCHARIDES EXTRACTED FROM PEA POD BY-PRODUCTS AND EVALUATION OF THEIR BIOLOGICAL AND FUNCTIONAL PROPERTIES;HELBERT, CLAIRE BOISSET;" CNRS, CERMAV, SERV CHROMATOGRAPHIE PURIFICAT & ANAL POLYSACCHAR, 601 RUE CHIM, F-38041 GRENOBLE 9, FRANCE.; ";;
;JOURNAL OF BIOLOGICAL CHEMISTRY;STRUCTURAL AND FUNCTIONAL CHARACTERIZATION OF PL28 FAMILY ULVAN LYASE NLR48 FROM NONLABENS ULVANIVORANS;HELBERT, WILLIAM;" CNRS, CTR RECH MACROMOL VEGETALES CERMAV, BP53, F-38000 GRENOBLE 9, FRANCE.; ";;
;BIOSENSORS & BIOELECTRONICS;DAWSON-TYPE POLYOXOMETALATE NANOCLUSTERS CONFINED IN A CARBON NANOTUBE MATRIX AS EFFICIENT REDOX MEDIATORS FOR ENZYMATIC GLUCOSE BIOFUEL CELL ANODES AND GLUCOSE BIOSENSORS;"GROSS, ANDREW J.;";" CNRS GRENOBLE, CERMAV, F-38041 GRENOBLE, FRANCE.;";;
;INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES;STRUCTURAL, FUNCTIONAL, AND BIOLOGICAL PROPERTIES OF POTATO PEEL OLIGOSACCHARIDES;HELBERT, CLAIRE BOISSET;" CNRS, CERMAV, SERV CHROMAT PURIFICAT & ANAL POLYSACCHARIDES, 601 RUE CHIM, F-38041 GRENOBLE 9, FRANCE.; ";;
;PLOS ONE;MYCORRHIZAL LIPOCHITINOLIGOSACCHARIDES (LCOS) DEPOLARIZE ROOT HAIRS OF MEDICAGO TRUNCATULA;"FORT, SEBASTIEN; COTTAZ, SYLVAIN";" UNIV GRENOBLE ALOES, CERMAV, CNRS, GRENOBLE, FRANCE.;";;
;SCIENTIFIC REPORTS;ANCIENT ACQUISITION OF \; BY HUMAN GUT MICROBIOTA;;;
;JOURNAL OF BIOLOGICAL CHEMISTRY;STRUCTURE-FUNCTION ANALYSES OF A PL24 FAMILY ULVAN LYASE REVEAL KEY FEATURES AND SUGGEST ITS CATALYTIC MECHANISM;HELBERT, WILLIAM;" CERMAV, CNRS, UPR 5301 601, RUE CHIM, F-38000 GRENOBLE, FRANCE.; ";;
;CHEMISTRY AND PHYSICS OF LIPIDS;THE EFFECT OF MUTATIONS IN THE LID REGION OF THERMOMYCES LANUGINOSUS LIPASE ON INTERACTIONS WITH TRIGLYCERIDE SURFACES: A MULTI-SCALE SIMULATION STUDY;LELIMOUSIN, MICKAEL;" CNRS, CERMAV UPR5301, BP 53, F-38041 GRENOBLE 9, FRANCE.; ";;
;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES;MOLECULAR INTERACTIONS IN NANOCELLULOSE ASSEMBLY;NISHIYAMA, YOSHIHARU;" CNRS, CERMAV, F-38000 GRENOBLE, FRANCE.;";;
;FRONTIERS IN PLANT SCIENCE;DO GALACTOLIPID SYNTHASES PLAY A KEY ROLE IN THE BIOGENESIS OF CHLOROPLAST MEMBRANES OF HIGHER PLANTS?;"ROCHA, JOANA; NITENBERG, MILENE; BRETON, CHRISTELLE";" CNRS, CERMAV, GRENOBLE, FRANCE.; ";;
;COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS;STRUCTURAL CHANGES ON POLYMERIC NANOPARTICLES INDUCED BY HYDROPHOBIC DRUG ENTRAPMENT;PUTAUX, JEAN-LUC;" CNRS, CERMAV, F-38000 GRENOBLE, FRANCE.;";;
;CARBOHYDRATE POLYMERS;MACROMOLECULAR STRUCTURE AND FILM PROPERTIES OF ENZYMATICALLY-ENGINEERED HIGH MOLAR MASS DEXTRANS;PUTAUX, JEAN-LUC;" CERMAV, CNRS, F-38000 GRENOBLE, FRANCE.; ";;
;BIOMED RESEARCH INTERNATIONAL;EVALUATION OF THE EFFICIENCY OF ETHANOL PRECIPITATION AND ULTRAFILTRATION ON THE PURIFICATION AND CHARACTERISTICS OF EXOPOLYSACCHARIDES PRODUCED BY THREE LACTIC ACID BACTERIA;MOKHTAR, FERID;" CNRS, CERMAV, CTR RECH MACROMOL VEGETALES, 601 RUE CHIM, F-38041 GRENOBLE 9, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;PREPARATION OF MULTI-STIMULI-RESPONSIVE ACTIVE COLLOIDS VIA RAFT POLYMERIZATION-INDUCED THERMAL SELF-ASSEMBLY;OTSUKA, ISSEI;" CTR NATL RECH SCI CERMAV CNRS, CTR RECH MACROMOL VEGETALES, GRENOBLE, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;INJECTABLE AND SELF-HEALING POLYSACCHARIDE HYDROGELS VIA BORONATE ESTER BONDS: RELATIONSHIPS BETWEEN THE BINDING MODE OF BORONIC ACIDS TO SACCHARIDE MOIETIES AND THE MACROSCOPIC MECHANICAL PROPERTIES;AUZELY-VELTY, RACHEL;" CNRS, CERMAV, GRENOBLE, FRANCE.; ";;
;FEBS OPEN BIO;RECOMBINANT AND ENGINEERED LECTINS FOR RESEARCH AND DIAGNOSTICS;"IMBERTY, A.;";" CNRS, CERMAV, GRENOBLE 9, FRANCE.;";;
;FEBS OPEN BIO;LECTIN RS20L FROM PLANT PATHOGEN RALSTONIA SOLANACEARUM - STABILITY STUDIES AND CRYSTALLIZATION;"SULAK, O.;";" CNRS, MOL GLYCOBIOL, CERMAV, BP53, F-38041 GRENOBLE 9, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;SYNTHESIS AND SELF-ASSEMBLY OF POLY(STYRENE-BLOCK-METHYL METHACRYLATE) END-CAPPED WITH OLIGOSACCHARIDE;BORSALI, REDOUANE;" CNRS, CERMAV, GRENOBLE 9, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;JUNJI SUGIYAMA AND CERMAV: A LONG LASTING IMPACT;CHANZY, HENRI;" CNRS, CERMAV, GRENOBLE, FRANCE.;";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;CELLULOSE NANOFIBRILS FROM WOOD AS A NEW SUBSTRATE FOR COVALENT IMMOBILIZATION OF PRODRUG MOLECULE BY CLICK CHEMISTRY;FORT, SEBASTIEN;" CERMAV, GRENOBLE 9, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;ELECTRIC AND MAGNETIC PROPERTIES OF CELLULOSE NANOCRYSTALS IN SUSPENSION REVEALED BY FIELD-INDUCED BIREFRINGENCE;"FRKA-PETESIC, BRUNO; JEAN, BRUNO; CHANZY, HENRI; HEUX, LAURENT";" CNRS, CERMAV, GRENOBLE 9, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;ULTRASTRUCTURAL CHARACTERIZATION OF CELLULOSICS BY SOLID STATE NMR: HAS EVERYTHING BEEN DONE?;HEUX, LAURENT;" CNRS, CERMAV, GRENOBLE 09, FRANCE.;";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;ALLOMORPHIC TRANSITION IN NATIVE CELLULOSE PROMOTED BY ULTRASOUNDS;"MAZEAU, KARIM; CHEN, PAN; OGAWA, YU; HEUX, LAURENT; BOISSEAU, SONIA MOLINA; PUTAUX, JEAN-LUC; NISHIYAMA, YOSHIHARU";" CERMAV, GRENOBLE, FRANCE.;";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;INVESTIGATING THE INTERACTION OF CELLULOSE WITH LIPID MEMBRANES;"NAVON, YOTAM; JEAN, BRUNO; HEUX, LAURENT";" CNRS, CERMAV, GRENOBLE 09, FRANCE.;";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;REVISIT OF MICROFIBRIL STRUCTURE DIVERSITY IN HIGHER PLANTS;"NISHIYAMA, YOSHIHARU; OGAWA, YU";" CERMAV, GRENOBLE, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;FREQUENCY FILTERED MOLECULAR DYNAMICS TRAJECTORY COMPARED WITH CRYSTALLOGRAPHIC TEMPERATURE FACTOR IN HIGHLY CRYSTALLINE CHITIN;NISHIYAMA, YOSHIHARU;" CERMAV, GRENOBLE, FRANCE.; ";;
;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;FREQUENCY FILTERED MOLECULAR DYNAMICS TRAJECTORY COMPARED WITH CRYSTALLOGRAPHIC TEMPERATURE FACTOR IN HIGHLY CRYSTALLINE CHITIN;OGAWA, YU;" CNRS, CERMAV, GRENOBLE, FRANCE.; ";;
CHU;;;;;;
;JOURNAL OF PEDIATRICS;ONE-YEAR OUTCOME FOR CONGENITAL DIAPHRAGMATIC HERNIA: RESULTS FROM THE FRENCH NATIONAL REGISTER;DESRUMAUX, AMELIE;" COUPLE ENFANT HOSP, NEONATAL INTENS CARE UNIT, GRENOBLE, FRANCE.; ";;
;ARTHRITIS CARE & RESEARCH;AUTOANTIBODIES TARGETING FICOLIN-2 IN SYSTEMIC LUPUS ERYTHEMATOSUS PATIENTS WITH ACTIVE NEPHRITIS;"SARROT-REYNAULD, FRANCOISE; DEROUX, ALBAN; BOUILLET, LAURENCE";" CTR HOSP UNIV, CLIN UNIV MED INTERNE, POLE PLURIDISCIPLINAIRE MED & GERONTOL CLIN, GRENOBLE 9, FRANCE.; ";;
;MYCOPATHOLOGIA;TOWARD THE STANDARDIZATION OF MYCOLOGICAL EXAMINATION OF SPUTUM SAMPLES IN CYSTIC FIBROSIS: RESULTS FROM A FRENCH MULTICENTER PROSPECTIVE STUDY;COLTEY, BERENGERE;" CTR HOSP UNIV, CRCM ADULTE, GRENOBLE, FRANCE.; ";;
;MEDICAL MYCOLOGY;DEVELOPING A NOVEL ANTI-FUNGAL STRATEGY BY TARGETING EPIGENETIC READER DOMAINS IN CANDIDA GLABRATA;"CORNET, M.;";" CTR HOSP UNIV, GRENOBLE, FRANCE.; ";;
;HISTOPATHOLOGY;MUCINOUS ADENOCARCINOMA WITH LEPIDIC PATTERN AND WITH K-RAS MUTATION IN A NEWBORN WITH ANTENATAL DIAGNOSIS OF CONGENITAL PULMONARY AIRWAY MALFORMATION;"STEPHANOV, OLIVIER; SARTELET, HERVE";" MED UNIV GRENOBLE, DEPT PATHOL, GRENOBLE, FRANCE.; ";;
;HISTOPATHOLOGY;MUCINOUS ADENOCARCINOMA WITH LEPIDIC PATTERN AND WITH K-RAS MUTATION IN A NEWBORN WITH ANTENATAL DIAGNOSIS OF CONGENITAL PULMONARY AIRWAY MALFORMATION;DE FRAIPONT, FLORENCE;" MED UNIV GRENOBLE, DEPT BIOCHEM, GRENOBLE, FRANCE.;";;
;EUROPEAN HEART JOURNAL;OUTCOMES AFTER EXTRACORPOREAL MEMBRANE OXYGENATION FOR THE TREATMENT OF HIGH-RISK PULMONARY EMBOLISM: A MULTICENTRE SERIES OF 52 CASES;GAIDE-CHEVRONNAY, LUCIE;" CHU GRENOBLE ALPES, HOP MICHALLON, POLE ANESTHESIE REANIMAT, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; ";;
;PHYSICAL REVIEW MATERIALS;LIFETIME-SHORTENED ACOUSTIC PHONONS AND STATIC ORDER AT THE BRILLOUIN ZONE BOUNDARY IN THE ORGANIC-INORGANIC PEROVSKITE CH3NH3PBCL3;"SCHMALZL, K.;";" FORSCHUNGSZENTRUM JULICH, JULICH CTR NEUTRON SCI ILL, 71 AVE MARTYRS, F-38000 GRENOBLE, FRANCE.; ";;
;EUROPEAN UROLOGY FOCUS;PROGNOSTIC BIOMARKERS USED FOR LOCALISED PROSTATE CANCER MANAGEMENT: A SYSTEMATIC REVIEW;GAUCHEZ, ANNE-SOPHIE;" CHU GRENOBLE, INST BIOL & PATHOL, INSERM, UMR S 1039, GRENOBLE, FRANCE.; ";;
;EUROPEAN UROLOGY FOCUS;PROGNOSTIC BIOMARKERS USED FOR LOCALISED PROSTATE CANCER MANAGEMENT: A SYSTEMATIC REVIEW;DESCOTES, JEAN-LUC;" CHU GRENOBLE, GRENOBLE, FRANCE.; ";;
;NEPHROLOGY DIALYSIS TRANSPLANTATION;TREATMENT PLANS AND OUTCOMES IN ELDERLY PATIENTS REACHING ADVANCED CHRONIC KIDNEY DISEASE;"ZAOUI, P.;";" CHU GRENOBLE, GRENOBLE, FRANCE.; ";;
;PROGRES EN UROLOGIE;PLACE OF PARTIAL NEPHRECTOMY ASSISTED BY ROBOT: REVIEW OF THE LITERATURE AT THE TIME OF A REQUEST FOR A SPECIFIC NOMENCLATURE;"LONG, J.; -A.;; DESCOTES, J.; -L.;";" CHU GRENOBLE, F-38700 GRENOBLE, FRANCE.; ";;
;JOURNAL OF INHERITED METABOLIC DISEASE;LATE-ONSET POMPE DISEASE IN FRANCE: MOLECULAR FEATURES AND EPIDEMIOLOGY FROM A NATIONWIDE STUDY;"LAGRANGE, E.;";" CHU GRENOBLE, CLIN NEUROL, POLE PSYCHIAT NEUROL & REEDUCAT NEUROL, F-38000 GRENOBLE, FRANCE.; ";;
;REPRODUCTION;SLO3 K+ CHANNEL BLOCKER CLOFILIUM EXTENDS BULL AND MOUSE SPERM-FERTILIZING COMPETENCE;"RAY, PIERRE F.;";" CHU GRENOBLE, UM GI DPI, GRENOBLE, FRANCE.;";;
;CANCER RADIOTHERAPIE;CONCEPTS AND TERMS FOR DOSE/VOLUME PARAMETERS IN CARBON-ION RADIOTHERAPY: CONCLUSIONS OF THE ULICE TASKFORCE;"BALOSSO, J.;";" CHU GRENOBLE ALPES, HOP ALBERT MICHALLON, SERV CANCEROL RADIOTHERAPIE, F-38043 GRENOBLE 09, FRANCE.; ";;
;AMERICAN JOURNAL OF MEDICAL GENETICS PART A;TBL1XR1 MUTATIONS IN PIERPONT SYNDROME ARE NOT RESTRICTED TO THE RECURRENT P.TYR446CYS MUTATION;"THEVENON, J.;";" CHU, HOP COUPLE ENFANT, DEPT GENET & PROCREAT, GRENOBLE, FRANCE.; ";;
;MEDECINE ET MALADIES INFECTIEUSES;HEAD AND NECK SQUAMOUS CELL CARCINOMA IN PEOPLE LIVING WITH HIV IN FRANCE;"STAHL, J.; P.;";" CHU GRENOBLE, GRENOBLE, FRANCE.; ";;
;VISION RESEARCH;VISUAL FIELD PLASTICITY IN HEARING USERS OF SIGN LANGUAGE;"GUERIOT, FRANCOIS-XAVIER; CHIQUET, CHRISTOPHE; APTEL, FLORENT";" CHU GRENOBLE, DEPT OPHTHALMOL, BP217, GRENOBLE, FRANCE.;";;
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;SAFETY, TOLERABILITY, PHARMACOKINETICS AND PHARMACOKINETIC-PHARMACODYNAMIC MODELLING OF THE NOVEL H-4 RECEPTOR INHIBITOR SENS-111 USING A MODIFIED CALORIC TEST IN HEALTHY SUBJECTS;SCHMERBER, SEBASTIEN;" CHU GRENOBLE, OTORHINOLARYNGOL DEPT, GRENOBLE, FRANCE.;";;
;BULLETIN DU CANCER;PREVALENCE OF PAIN IN RADIOTHERAPY AND IMPROVEMENT OF ITS MANAGEMENT;MOUSSEAU, MIREILLE;" CTR HOSP UNIV CHU GRENOBLE, SERV ONCOL MED, AVE MAQUIS DU GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.;";;
;CLINICAL NUCLEAR MEDICINE;18F-CHOLINE AND 18F-FDG PET/CT IN A PATIENT WITH DIFFUSE LARGE B-CELL LYMPHOMA AND RECURRENT PROSTATE CANCER;"DE LEIRIS, NICOLAS; LEENHARDT, JULIEN; DJAILEB, LOIC";" CHU, DEPT NUCL MED, GRENOBLE, FRANCE.; ";;
;ENVIRONMENT INTERNATIONAL;IN-UTERO AND CHILDHOOD CHEMICAL EXPOSOME IN SIX EUROPEAN MOTHER-CHILD COHORTS;FERRAND, JOANE;" CHU GRENOBLE ALPES, CIC PEDIAT, GRENOBLE, FRANCE.; ";;
;FUNDAMENTAL & CLINICAL PHARMACOLOGY;EPHENIDINE, DIPHENIDINE, AND METHOXPHENIDINE COMPLICATIONS REPORTED TO THE FRENCH ADDICTOVIGILANCE NETWORK;FOUILHE, NATHALIE;" CHU GRENOBLE, DEPT PHARMACOL MED, CTR ADDICTOVIGILANCE, F-38043 GRENOBLE 9, FRANCE.; ";;
;HUMAN BRAIN MAPPING;DIFFERENT EFFECTS OF LEVODOPA AND SUBTHALAMIC STIMULATION ON EMOTIONAL CONFLICT IN PARKINSON'S DISEASE;"MARTINEZ-FERNANDEZ, RAUL; FRAIX, VALERIE; CASTRIOTO, ANNA; LHOMMEE, EUGENIE; MORO, ELENA; PELISSIER, PIERRE; KRACK, PAUL";" CHU GRENOBLE ALPES, MOVEMENT DISORDERS UNIT, GRENOBLE, FRANCE.; ";;
;HUMAN BRAIN MAPPING;DIFFERENT EFFECTS OF LEVODOPA AND SUBTHALAMIC STIMULATION ON EMOTIONAL CONFLICT IN PARKINSON'S DISEASE;"CHABARDES, STEPHAN; KRACK, PAUL";" CHU GRENOBLE ALPES, NEUROSURG DEPT, GRENOBLE, FRANCE.; ";;
;JOINT BONE SPINE;AN E-HEALTH INTERACTIVE SELF-ASSESSMENT WEBSITE (SANOIA (R)) IN RHEUMATOID ARTHRITIS. A 12-MONTH RANDOMIZED CONTROLLED TRIAL IN 320 PATIENTS;GRANGE, LAURENT;" CHU GRENOBLE ALPES, HOP SUD, RHEUMATOL DEPT, F-38130 ECHIROLLES, FRANCE.; ";;
;JOURNAL OF ASSISTED REPRODUCTION AND GENETICS;TIME-LAPSE IMAGING SYSTEMS IN IVF LABORATORIES: A FRENCH NATIONAL SURVEY;BOUEILH, THOMAS;" CHU GRENOBLE ALPES, CTR ASSISTANCE MED PROCREAT CECOS, GRENOBLE, FRANCE.; ";;
;JOURNAL OF HEPATOLOGY;ESTIMATE OF HEPATOCELLULAR CARCINOMA INCIDENCE IN PATIENTS WITH ALCOHOLIC CIRRHOSIS;ZARSKI, JEAN-PIERRE;" CHU GRENOBLE, CLIN HEPATOGASTROENTEROL POLE DIGIDUNE, GRENOBLE, FRANCE.;";;
;PEDIATRIC BLOOD & CANCER;VERY LONG-TERM MOLECULAR FOLLOW-UP OF MINIMAL RESIDUAL DISEASE IN PATIENTS WITH NEUROBLASTOMA;PLANTAZ, DOMINIQUE;" HOP COUPLE ENFANT, CHU GRENOBLE, DEPT PEDIAT, GRENOBLE, FRANCE.;";;
;REVUE DES MALADIES RESPIRATOIRES;THE NEW REFERENCE EQUATIONS OF THE GLOBAL LUNG FUNCTION INITIATIVE (GLI) FOR PULMONARY FUNCTION TESTS;"DEGANO, B.;";" CHU GRENOBLE ALPES, SERV HOSP UNIV PNEUMOL PHYSIOL, POLE THORAX & VAISSEAUX, F-38043 GRENOBLE 9, FRANCE.;";;
;SCIENCE & SPORTS;AWARENESS AND EDUCATION ABOUT CARDIOVASCULAR EVENTS AND SPORT ARE ESSENTIAL: RESULTS OF A FRENCH MULTICENTER SURVEY;"DOUTRELEAU, S.;";" CHU GRENOBLE, SERV PHYSIOL & EXPLORAT FONCTIONNELLES, GRENOBLE, FRANCE.; ";;
;TRANSPLANTATION;RANGE AND CONSISTENCY OF OUTCOMES REPORTED IN RANDOMIZED TRIALS CONDUCTED IN KIDNEY TRANSPLANT RECIPIENTS: A SYSTEMATIC REVIEW;ROSTAING, LIONEL;" CHU GRENOBLE ALPES, DEPT NEPHROL & RENAL TRANSPLANTAT, GRENOBLE, FRANCE.; ";;
